ENSMUSG00000002957	ENSMUST00000201320
ENSMUSG00000002963	ENSMUST00000003044
ENSMUSG00000002968	ENSMUST00000208253
ENSMUSG00000002980	ENSMUST00000003061
ENSMUSG00000002981	ENSMUST00000055242
ENSMUSG00000002981	ENSMUST00000208554
ENSMUSG00000002983	ENSMUST00000148040
ENSMUSG00000002984	ENSMUST00000093552
ENSMUSG00000002984	ENSMUST00000208286
ENSMUSG00000002985	ENSMUST00000174064
ENSMUSG00000002985	ENSMUST00000207525
ENSMUSG00000002992	ENSMUST00000142352
ENSMUSG00000002996	ENSMUST00000167458
ENSMUSG00000002996	ENSMUST00000172314
ENSMUSG00000003031	ENSMUST00000067327
ENSMUSG00000003033	ENSMUST00000151546
ENSMUSG00000003037	ENSMUST00000003121
ENSMUSG00000003038	ENSMUST00000102553
ENSMUSG00000003038	ENSMUST00000145025
ENSMUSG00000003039	ENSMUST00000212117
ENSMUSG00000003051	ENSMUST00000003135
ENSMUSG00000003053	ENSMUST00000176624
ENSMUSG00000003053	ENSMUST00000177087
ENSMUSG00000003062	ENSMUST00000197565
ENSMUSG00000003068	ENSMUST00000144883
ENSMUSG00000003072	ENSMUST00000105367
ENSMUSG00000003099	ENSMUST00000003183
ENSMUSG00000003119	ENSMUST00000107539
ENSMUSG00000003119	ENSMUST00000147441
ENSMUSG00000003123	ENSMUST00000003207
ENSMUSG00000003123	ENSMUST00000149349
ENSMUSG00000003131	ENSMUST00000172450
ENSMUSG00000003131	ENSMUST00000214996
ENSMUSG00000003134	ENSMUST00000054462
ENSMUSG00000003135	ENSMUST00000161515
ENSMUSG00000003154	ENSMUST00000003238
ENSMUSG00000003161	ENSMUST00000148633
ENSMUSG00000003166	ENSMUST00000135229
ENSMUSG00000003184	ENSMUST00000003284
ENSMUSG00000003184	ENSMUST00000207521
ENSMUSG00000003184	ENSMUST00000208906
ENSMUSG00000003184	ENSMUST00000209006
ENSMUSG00000003184	ENSMUST00000209066
ENSMUSG00000003190	ENSMUST00000208128
ENSMUSG00000003198	ENSMUST00000054780
ENSMUSG00000003198	ENSMUST00000224294
ENSMUSG00000003199	ENSMUST00000124302
ENSMUSG00000003199	ENSMUST00000149441
ENSMUSG00000003200	ENSMUST00000003268
ENSMUSG00000003208	ENSMUST00000086869
ENSMUSG00000003226	ENSMUST00000003310
ENSMUSG00000003226	ENSMUST00000219332
ENSMUSG00000003228	ENSMUST00000003313
ENSMUSG00000003233	ENSMUST00000003318
ENSMUSG00000003234	ENSMUST00000003319
ENSMUSG00000003235	ENSMUST00000003320
ENSMUSG00000003269	ENSMUST00000056820
ENSMUSG00000003282	ENSMUST00000003369
ENSMUSG00000003283	ENSMUST00000109799
ENSMUSG00000003299	ENSMUST00000003386
